IP,DATE,URL
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:49 +0530,GET / HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:28 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:49 +0530,GET /icons/apache_pb2.gif HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:49 +0530,GET /favicon.ico HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:29 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
192.168.99.1,09/Jul/2020:15:33:30 +0530,GET /kiit.html HTTP/1.1
